id,date,time,accident_type,severity,district,vehicles_count,injured,killed,weather
1,2025-01-01,15:51,Опрокидывание,Лёгкое,Ленинский,1,1,0,Ясно
2,2025-01-01,23:15,Наезд на препятствие,Лёгкое,Ленинский,1,1,0,Гололёд
3,2025-01-01,16:16,Столкновение,Лёгкое,Кировский,2,0,0,Ясно
4,2025-01-01,17:10,Наезд на препятствие,Лёгкое,Кировский,1,0,0,Гололёд
5,2025-01-01,14:28,Падение пассажира,Лёгкое,Орджоникидзевский,1,0,0,Гололёд
6,2025-01-01,12:27,Наезд на препятствие,Лёгкое,Октябрьский,1,0,0,Ясно
7,2025-01-01,17:26,Опрокидывание,Тяжёлое,Чкаловский,1,4,0,Снегопад
8,2025-01-01,15:26,Наезд на пешехода,Лёгкое,Октябрьский,1,1,0,Ясно
9,2025-01-02,11:32,Столкновение,Тяжёлое,Ленинский,2,3,1,Ясно
10,2025-01-02,16:03,Столкновение,Лёгкое,Ленинский,2,0,0,Гололёд
11,2025-01-02,20:55,Столкновение,Лёгкое,Октябрьский,3,0,0,Гололёд
12,2025-01-02,12:50,Падение пассажира,Лёгкое,Железнодорожный,1,0,0,Гололёд
13,2025-01-02,13:40,Наезд на препятствие,Средней тяжести,Кировский,1,2,0,Ясно
14,2025-01-02,12:10,Столкновение,Тяжёлое,Кировский,3,4,1,Снегопад
15,2025-01-02,10:31,Опрокидывание,Лёгкое,Чкаловский,1,1,0,Гололёд
16,2025-01-02,15:13,Наезд на стоящее ТС,Лёгкое,Чкаловский,2,1,0,Ясно
17,2025-01-02,08:17,Иное,Средней тяжести,Ленинский,2,1,0,Гололёд
18,2025-01-02,10:26,Столкновение,Лёгкое,Октябрьский,3,1,0,Снегопад
19,2025-01-02,08:01,Наезд на пешехода,Средней тяжести,Железнодорожный,1,1,0,Ясно
20,2025-01-03,23:13,Наезд на пешехода,Средней тяжести,Кировский,1,2,0,Гололёд
21,2025-01-03,08:22,Наезд на пешехода,Лёгкое,Октябрьский,1,0,0,Ясно
22,2025-01-03,14:46,Столкновение,Тяжёлое,Орджоникидзевский,3,3,0,Ясно
23,2025-01-03,08:36,Столкновение,Лёгкое,Железнодорожный,4,1,0,Туман
24,2025-01-03,08:32,Наезд на препятствие,Средней тяжести,Кировский,1,2,0,Ясно
25,2025-01-03,00:40,Столкновение,Лёгкое,Орджоникидзевский,3,0,0,Ясно
26,2025-01-03,20:37,Наезд на стоящее ТС,Лёгкое,Чкаловский,2,1,0,Снегопад
27,2025-01-03,10:11,Наезд на пешехода,Лёгкое,Орджоникидзевский,1,1,0,Снегопад
28,2025-01-04,14:50,Наезд на стоящее ТС,Средней тяжести,Верх-Исетский,2,2,0,Ясно
29,2025-01-04,21:52,Наезд на препятствие,Средней тяжести,Ленинский,1,1,0,Туман
30,2025-01-04,19:29,Столкновение,Лёгкое,Октябрьский,2,1,0,Снегопад
31,2025-01-04,12:20,Наезд на пешехода,Средней тяжести,Октябрьский,1,3,0,Снегопад
32,2025-01-04,23:28,Иное,Средней тяжести,Верх-Исетский,2,3,0,Ясно
33,2025-01-04,18:19,Столкновение,Средней тяжести,Кировский,2,1,0,Ясно
34,2025-01-04,16:39,Наезд на препятствие,Лёгкое,Октябрьский,1,0,0,Ясно
35,2025-01-05,16:37,Столкновение,Средней тяжести,Верх-Исетский,3,1,0,Ясно
36,2025-01-05,17:19,Наезд на пешехода,Лёгкое,Железнодорожный,1,2,0,Ясно
37,2025-01-05,17:57,Наезд на стоящее ТС,Лёгкое,Ленинский,2,0,0,Ясно
38,2025-01-06,11:14,Столкновение,Тяжёлое,Ленинский,2,2,0,Ясно
39,2025-01-06,07:43,Падение пассажира,Лёгкое,Кировский,1,0,0,Снегопад
40,2025-01-06,21:03,Наезд на пешехода,Лёгкое,Верх-Исетский,1,0,0,Ясно
